dataset,instancia,n,W,archivo
fullRandom,0,907,4399,instancias/fullRandom/0.in
fullRandom,1,4704,4099,instancias/fullRandom/1.in
fullRandom,2,3829,69,instancias/fullRandom/2.in
fullRandom,3,3710,1550,instancias/fullRandom/3.in
fullRandom,4,4903,223,instancias/fullRandom/4.in
fullRandom,5,1781,556,instancias/fullRandom/5.in
fullRandom,6,4811,1007,instancias/fullRandom/6.in
fullRandom,7,1358,4545,instancias/fullRandom/7.in
fullRandom,8,2741,26,instancias/fullRandom/8.in
fullRandom,9,1606,4865,instancias/fullRandom/9.in
fullRandom,10,4209,2696,instancias/fullRandom/10.in
fullRandom,11,989,2933,instancias/fullRandom/11.in
fullRandom,12,3384,1104,instancias/fullRandom/12.in
fullRandom,13,1485,953,instancias/fullRandom/13.in
fullRandom,14,2918,4581,instancias/fullRandom/14.in
fullRandom,15,3997,3428,instancias/fullRandom/15.in
fullRandom,16,798,2031,instancias/fullRandom/16.in
fullRandom,17,2294,1056,instancias/fullRandom/17.in
fullRandom,18,695,1920,instancias/fullRandom/18.in
fullRandom,19,4012,2714,instancias/fullRandom/19.in
fullRandom,20,4487,2466,instancias/fullRandom/20.in
fullRandom,21,2923,2330,instancias/fullRandom/21.in
fullRandom,22,28,2097,instancias/fullRandom/22.in
fullRandom,23,31,515,instancias/fullRandom/23.in
fullRandom,24,4324,1612,instancias/fullRandom/24.in
fullRandom,25,1786,4783,instancias/fullRandom/25.in
fullRandom,26,2807,4065,instancias/fullRandom/26.in
fullRandom,27,3884,2634,instancias/fullRandom/27.in
fullRandom,28,2732,417,instancias/fullRandom/28.in
fullRandom,29,1902,1633,instancias/fullRandom/29.in
fullRandom,30,673,3858,instancias/fullRandom/30.in
fullRandom,31,3432,4455,instancias/fullRandom/31.in
fullRandom,32,4736,1903,instancias/fullRandom/32.in
fullRandom,33,657,104,instancias/fullRandom/33.in
fullRandom,34,3868,3829,instancias/fullRandom/34.in
fullRandom,35,3073,2430,instancias/fullRandom/35.in
fullRandom,36,4194,732,instancias/fullRandom/36.in
fullRandom,37,3398,828,instancias/fullRandom/37.in
fullRandom,38,3078,2272,instancias/fullRandom/38.in
fullRandom,39,2874,4604,instancias/fullRandom/39.in
fullRandom,40,1133,1381,instancias/fullRandom/40.in
fullRandom,41,674,4760,instancias/fullRandom/41.in
fullRandom,42,1853,3102,instancias/fullRandom/42.in
fullRandom,43,2439,3051,instancias/fullRandom/43.in
fullRandom,44,1275,1466,instancias/fullRandom/44.in
fullRandom,45,1834,3715,instancias/fullRandom/45.in
fullRandom,46,163,1109,instancias/fullRandom/46.in
fullRandom,47,753,2714,instancias/fullRandom/47.in
fullRandom,48,2486,3842,instancias/fullRandom/48.in
fullRandom,49,790,3292,instancias/fullRandom/49.in
fullRandom,50,3879,1676,instancias/fullRandom/50.in
