dataset,instancia,n,W,archivo
muchos,0,1,5000,instancias/muchos/n1_0.in
muchos,1,1,5000,instancias/muchos/n1_1.in
muchos,2,1,5000,instancias/muchos/n1_2.in
muchos,3,1,5000,instancias/muchos/n1_3.in
muchos,4,1,5000,instancias/muchos/n1_4.in
muchos,5,1,5000,instancias/muchos/n1_5.in
muchos,6,1,5000,instancias/muchos/n1_6.in
muchos,7,1,5000,instancias/muchos/n1_7.in
muchos,8,1,5000,instancias/muchos/n1_8.in
muchos,9,1,5000,instancias/muchos/n1_9.in
muchos,10,1,5000,instancias/muchos/n1_10.in
muchos,11,1,5000,instancias/muchos/n1_11.in
muchos,12,1,5000,instancias/muchos/n1_12.in
muchos,13,1,5000,instancias/muchos/n1_13.in
muchos,14,1,5000,instancias/muchos/n1_14.in
muchos,15,1,5000,instancias/muchos/n1_15.in
muchos,16,1,5000,instancias/muchos/n1_16.in
muchos,17,1,5000,instancias/muchos/n1_17.in
muchos,18,1,5000,instancias/muchos/n1_18.in
muchos,19,1,5000,instancias/muchos/n1_19.in
muchos,20,1,5000,instancias/muchos/n1_20.in
muchos,21,1,5000,instancias/muchos/n1_21.in
muchos,22,1,5000,instancias/muchos/n1_22.in
muchos,23,1,5000,instancias/muchos/n1_23.in
muchos,24,1,5000,instancias/muchos/n1_24.in
muchos,25,1,5000,instancias/muchos/n1_25.in
muchos,26,1,5000,instancias/muchos/n1_26.in
muchos,27,1,5000,instancias/muchos/n1_27.in
muchos,28,1,5000,instancias/muchos/n1_28.in
muchos,29,1,5000,instancias/muchos/n1_29.in
muchos,30,1,5000,instancias/muchos/n1_30.in
muchos,31,1,5000,instancias/muchos/n1_31.in
muchos,32,1,5000,instancias/muchos/n1_32.in
muchos,33,1,5000,instancias/muchos/n1_33.in
muchos,34,1,5000,instancias/muchos/n1_34.in
muchos,35,1,5000,instancias/muchos/n1_35.in
muchos,36,1,5000,instancias/muchos/n1_36.in
muchos,37,1,5000,instancias/muchos/n1_37.in
muchos,38,1,5000,instancias/muchos/n1_38.in
muchos,39,1,5000,instancias/muchos/n1_39.in
muchos,40,1,5000,instancias/muchos/n1_40.in
muchos,41,1,5000,instancias/muchos/n1_41.in
muchos,42,1,5000,instancias/muchos/n1_42.in
muchos,43,1,5000,instancias/muchos/n1_43.in
muchos,44,1,5000,instancias/muchos/n1_44.in
muchos,45,1,5000,instancias/muchos/n1_45.in
muchos,46,1,5000,instancias/muchos/n1_46.in
muchos,47,1,5000,instancias/muchos/n1_47.in
muchos,48,1,5000,instancias/muchos/n1_48.in
muchos,49,1,5000,instancias/muchos/n1_49.in
