dataset,instancia,n,W,archivo
pocos,0,1,5000,instancias/pocos/n1_0.in
pocos,0,3,5000,instancias/pocos/n3_0.in
pocos,0,5,5000,instancias/pocos/n5_0.in
pocos,0,10,5000,instancias/pocos/n10_0.in
pocos,0,25,5000,instancias/pocos/n25_0.in
pocos,0,50,5000,instancias/pocos/n50_0.in
pocos,0,75,5000,instancias/pocos/n75_0.in
pocos,0,100,5000,instancias/pocos/n100_0.in
pocos,0,250,5000,instancias/pocos/n250_0.in
pocos,0,500,5000,instancias/pocos/n500_0.in
pocos,0,1000,5000,instancias/pocos/n1000_0.in
pocos,0,2000,5000,instancias/pocos/n2000_0.in
pocos,0,3000,5000,instancias/pocos/n3000_0.in
pocos,0,5000,5000,instancias/pocos/n5000_0.in
pocos,0,10000,5000,instancias/pocos/n10000_0.in
