dataset,instancia,n,W,archivo
uniformeR,0,1,1,instancias/uniformeR/r1_0.in
uniformeR,1,15,1,instancias/uniformeR/r1_1.in
uniformeR,2,30,1,instancias/uniformeR/r1_2.in
uniformeR,0,5,2,instancias/uniformeR/r2_0.in
uniformeR,1,22,2,instancias/uniformeR/r2_1.in
uniformeR,2,30,2,instancias/uniformeR/r2_2.in
uniformeR,0,25,3,instancias/uniformeR/r3_0.in
uniformeR,1,15,3,instancias/uniformeR/r3_1.in
uniformeR,2,3,3,instancias/uniformeR/r3_2.in
uniformeR,0,29,4,instancias/uniformeR/r4_0.in
uniformeR,1,24,4,instancias/uniformeR/r4_1.in
uniformeR,2,26,4,instancias/uniformeR/r4_2.in
uniformeR,0,15,5,instancias/uniformeR/r5_0.in
uniformeR,1,28,5,instancias/uniformeR/r5_1.in
uniformeR,2,6,5,instancias/uniformeR/r5_2.in
uniformeR,0,24,6,instancias/uniformeR/r6_0.in
uniformeR,1,25,6,instancias/uniformeR/r6_1.in
uniformeR,2,21,6,instancias/uniformeR/r6_2.in
uniformeR,0,16,7,instancias/uniformeR/r7_0.in
uniformeR,1,5,7,instancias/uniformeR/r7_1.in
uniformeR,2,20,7,instancias/uniformeR/r7_2.in
uniformeR,0,2,8,instancias/uniformeR/r8_0.in
uniformeR,1,27,8,instancias/uniformeR/r8_1.in
uniformeR,2,23,8,instancias/uniformeR/r8_2.in
uniformeR,0,1,9,instancias/uniformeR/r9_0.in
uniformeR,1,7,9,instancias/uniformeR/r9_1.in
uniformeR,2,7,9,instancias/uniformeR/r9_2.in
uniformeR,0,3,10,instancias/uniformeR/r10_0.in
uniformeR,1,24,10,instancias/uniformeR/r10_1.in
uniformeR,2,7,10,instancias/uniformeR/r10_2.in
uniformeR,0,30,11,instancias/uniformeR/r11_0.in
uniformeR,1,19,11,instancias/uniformeR/r11_1.in
uniformeR,2,22,11,instancias/uniformeR/r11_2.in
uniformeR,0,12,12,instancias/uniformeR/r12_0.in
uniformeR,1,7,12,instancias/uniformeR/r12_1.in
uniformeR,2,24,12,instancias/uniformeR/r12_2.in
uniformeR,0,5,13,instancias/uniformeR/r13_0.in
uniformeR,1,25,13,instancias/uniformeR/r13_1.in
uniformeR,2,26,13,instancias/uniformeR/r13_2.in
uniformeR,0,13,14,instancias/uniformeR/r14_0.in
uniformeR,1,19,14,instancias/uniformeR/r14_1.in
uniformeR,2,23,14,instancias/uniformeR/r14_2.in
uniformeR,0,16,15,instancias/uniformeR/r15_0.in
uniformeR,1,8,15,instancias/uniformeR/r15_1.in
uniformeR,2,17,15,instancias/uniformeR/r15_2.in
uniformeR,0,24,16,instancias/uniformeR/r16_0.in
uniformeR,1,17,16,instancias/uniformeR/r16_1.in
uniformeR,2,1,16,instancias/uniformeR/r16_2.in
uniformeR,0,16,17,instancias/uniformeR/r17_0.in
uniformeR,1,21,17,instancias/uniformeR/r17_1.in
uniformeR,2,11,17,instancias/uniformeR/r17_2.in
uniformeR,0,28,18,instancias/uniformeR/r18_0.in
uniformeR,1,9,18,instancias/uniformeR/r18_1.in
uniformeR,2,20,18,instancias/uniformeR/r18_2.in
uniformeR,0,25,19,instancias/uniformeR/r19_0.in
uniformeR,1,27,19,instancias/uniformeR/r19_1.in
uniformeR,2,3,19,instancias/uniformeR/r19_2.in
uniformeR,0,19,20,instancias/uniformeR/r20_0.in
uniformeR,1,1,20,instancias/uniformeR/r20_1.in
uniformeR,2,12,20,instancias/uniformeR/r20_2.in
uniformeR,0,22,21,instancias/uniformeR/r21_0.in
uniformeR,1,17,21,instancias/uniformeR/r21_1.in
uniformeR,2,9,21,instancias/uniformeR/r21_2.in
uniformeR,0,9,22,instancias/uniformeR/r22_0.in
uniformeR,1,27,22,instancias/uniformeR/r22_1.in
uniformeR,2,30,22,instancias/uniformeR/r22_2.in
uniformeR,0,27,23,instancias/uniformeR/r23_0.in
uniformeR,1,11,23,instancias/uniformeR/r23_1.in
uniformeR,2,5,23,instancias/uniformeR/r23_2.in
uniformeR,0,18,24,instancias/uniformeR/r24_0.in
uniformeR,1,9,24,instancias/uniformeR/r24_1.in
uniformeR,2,14,24,instancias/uniformeR/r24_2.in
uniformeR,0,15,25,instancias/uniformeR/r25_0.in
uniformeR,1,3,25,instancias/uniformeR/r25_1.in
uniformeR,2,18,25,instancias/uniformeR/r25_2.in
uniformeR,0,13,26,instancias/uniformeR/r26_0.in
uniformeR,1,2,26,instancias/uniformeR/r26_1.in
uniformeR,2,4,26,instancias/uniformeR/r26_2.in
uniformeR,0,24,27,instancias/uniformeR/r27_0.in
uniformeR,1,18,27,instancias/uniformeR/r27_1.in
uniformeR,2,28,27,instancias/uniformeR/r27_2.in
uniformeR,0,20,28,instancias/uniformeR/r28_0.in
uniformeR,1,15,28,instancias/uniformeR/r28_1.in
uniformeR,2,10,28,instancias/uniformeR/r28_2.in
uniformeR,0,13,29,instancias/uniformeR/r29_0.in
uniformeR,1,15,29,instancias/uniformeR/r29_1.in
uniformeR,2,18,29,instancias/uniformeR/r29_2.in
uniformeR,0,15,30,instancias/uniformeR/r30_0.in
uniformeR,1,13,30,instancias/uniformeR/r30_1.in
uniformeR,2,2,30,instancias/uniformeR/r30_2.in
uniformeR,0,14,50,instancias/uniformeR/r50_0.in
uniformeR,1,18,50,instancias/uniformeR/r50_1.in
uniformeR,2,29,50,instancias/uniformeR/r50_2.in
uniformeR,0,17,75,instancias/uniformeR/r75_0.in
uniformeR,1,23,75,instancias/uniformeR/r75_1.in
uniformeR,2,24,75,instancias/uniformeR/r75_2.in
uniformeR,0,24,100,instancias/uniformeR/r100_0.in
uniformeR,1,11,100,instancias/uniformeR/r100_1.in
uniformeR,2,8,100,instancias/uniformeR/r100_2.in
uniformeR,0,9,250,instancias/uniformeR/r250_0.in
uniformeR,1,7,250,instancias/uniformeR/r250_1.in
uniformeR,2,28,250,instancias/uniformeR/r250_2.in
uniformeR,0,18,500,instancias/uniformeR/r500_0.in
uniformeR,1,12,500,instancias/uniformeR/r500_1.in
uniformeR,2,24,500,instancias/uniformeR/r500_2.in
