dataset,instancia,n,W,archivo
u,0,1,5000,output/n1_0.in
u,1,1,5000,output/n1_1.in
u,2,1,5000,output/n1_2.in
u,3,1,5000,output/n1_3.in
u,4,1,5000,output/n1_4.in
u,0,10,5000,output/n10_0.in
u,1,10,5000,output/n10_1.in
u,2,10,5000,output/n10_2.in
u,3,10,5000,output/n10_3.in
u,4,10,5000,output/n10_4.in
u,0,100,5000,output/n100_0.in
u,1,100,5000,output/n100_1.in
u,2,100,5000,output/n100_2.in
u,3,100,5000,output/n100_3.in
u,4,100,5000,output/n100_4.in
u,0,1000,5000,output/n1000_0.in
u,1,1000,5000,output/n1000_1.in
u,2,1000,5000,output/n1000_2.in
u,3,1000,5000,output/n1000_3.in
u,4,1000,5000,output/n1000_4.in
u,0,2000,5000,output/n2000_0.in
u,1,2000,5000,output/n2000_1.in
u,2,2000,5000,output/n2000_2.in
u,3,2000,5000,output/n2000_3.in
u,4,2000,5000,output/n2000_4.in
u,0,3000,5000,output/n3000_0.in
u,1,3000,5000,output/n3000_1.in
u,2,3000,5000,output/n3000_2.in
u,3,3000,5000,output/n3000_3.in
u,4,3000,5000,output/n3000_4.in
u,0,5000,5000,output/n5000_0.in
u,1,5000,5000,output/n5000_1.in
u,2,5000,5000,output/n5000_2.in
u,3,5000,5000,output/n5000_3.in
u,4,5000,5000,output/n5000_4.in
