dataset,n,R,metodo,tiempo
fullRandom,907,4399,DP,7.14
fullRandom,4704,4099,DP,36.0888
fullRandom,3829,69,DP,0.8335
fullRandom,3710,1550,DP,9.1532
fullRandom,4903,223,DP,2.638
fullRandom,1781,556,DP,1.6304
fullRandom,4811,1007,DP,10.019
fullRandom,1358,4545,DP,12.6024
fullRandom,2741,26,DP,0.3385
fullRandom,1606,4865,DP,16.576
fullRandom,4209,2696,DP,23.8813
fullRandom,989,2933,DP,8.2203
fullRandom,3384,1104,DP,6.8227
fullRandom,1485,953,DP,2.3732
fullRandom,2918,4581,DP,30.7598
fullRandom,3997,3428,DP,28.2705
fullRandom,798,2031,DP,3.3125
fullRandom,2294,1056,DP,4.7086
fullRandom,695,1920,DP,2.1963
fullRandom,4012,2714,DP,18.4974
fullRandom,4487,2466,DP,18.0851
fullRandom,2923,2330,DP,11.4909
fullRandom,28,2097,DP,0.0867
fullRandom,31,515,DP,0.03
fullRandom,4324,1612,DP,19.3624
fullRandom,1786,4783,DP,24.6442
fullRandom,2807,4065,DP,52.5099
fullRandom,3884,2634,DP,35.1285
fullRandom,2732,417,DP,5.2785
fullRandom,1902,1633,DP,11.0748
fullRandom,673,3858,DP,6.4638
fullRandom,3432,4455,DP,35.6657
fullRandom,4736,1903,DP,19.3351
fullRandom,657,104,DP,0.2036
fullRandom,3868,3829,DP,28.9634
fullRandom,3073,2430,DP,17.8448
fullRandom,4194,732,DP,8.2598
fullRandom,3398,828,DP,4.8058
fullRandom,3078,2272,DP,18.6082
fullRandom,2874,4604,DP,27.0391
fullRandom,1133,1381,DP,3.8478
fullRandom,674,4760,DP,11.2629
fullRandom,1853,3102,DP,28.6147
fullRandom,2439,3051,DP,24.752
fullRandom,1275,1466,DP,8.1596
fullRandom,1834,3715,DP,15.5561
fullRandom,163,1109,DP,0.326
fullRandom,753,2714,DP,3.6911
fullRandom,2486,3842,DP,17.606
fullRandom,790,3292,DP,5.8515
fullRandom,3879,1676,DP,41.3572
fullRandom,1266,4375,DP,18.8924
fullRandom,2439,4782,DP,34.3308
fullRandom,848,4393,DP,15.3715
fullRandom,2893,2780,DP,25.474
fullRandom,2487,174,DP,1.5196
fullRandom,4138,1268,DP,9.2693
fullRandom,876,4667,DP,8.884
fullRandom,755,2638,DP,4.8415
fullRandom,4442,3513,DP,31.2574
fullRandom,2114,569,DP,3.3515
fullRandom,3388,2594,DP,18.6053
fullRandom,226,366,DP,0.2684
fullRandom,734,1133,DP,2.3005
fullRandom,3696,3018,DP,27.6361
fullRandom,461,4736,DP,4.6675
fullRandom,3363,2786,DP,29.5653
fullRandom,1813,511,DP,2.9202
fullRandom,4004,4362,DP,30.4558
fullRandom,1279,3020,DP,8.2029
fullRandom,2218,2200,DP,8.7168
fullRandom,3367,955,DP,5.7399
fullRandom,97,2588,DP,0.3758
fullRandom,3011,4716,DP,24.9564
fullRandom,2466,3445,DP,14.611
fullRandom,1197,3494,DP,7.1498
fullRandom,2063,1493,DP,5.0192
fullRandom,3231,2529,DP,13.7279
fullRandom,1086,2328,DP,4.3308
fullRandom,3021,39,DP,0.5273
fullRandom,2028,1531,DP,8.1006
fullRandom,18,3757,DP,0.1638
fullRandom,1664,3049,DP,10.9437
fullRandom,3549,1408,DP,8.9575
fullRandom,3388,1551,DP,21.7247
fullRandom,4962,4510,DP,55.5089
fullRandom,1038,742,DP,1.3423
fullRandom,3762,1780,DP,13.4418
fullRandom,2927,1631,DP,9.6242
fullRandom,3343,4102,DP,34.531
fullRandom,213,249,DP,0.1006
fullRandom,3797,2469,DP,28.2783
fullRandom,4870,3985,DP,46.6473
fullRandom,2683,1203,DP,6.3769
fullRandom,4412,996,DP,8.0323
fullRandom,4340,2555,DP,19.898
fullRandom,137,3486,DP,0.8073
fullRandom,922,3240,DP,5.6383
fullRandom,981,979,DP,1.7664
fullRandom,1791,2991,DP,10.9709
fullRandom,693,4727,DP,7.6692
fullRandom,4503,1041,DP,8.8217
fullRandom,4852,852,DP,11.5205
fullRandom,1174,935,DP,2.7261
fullRandom,1614,4482,DP,12.3554
fullRandom,4882,3191,DP,30.2087
fullRandom,1982,4159,DP,16.0849
fullRandom,1786,2739,DP,8.3663
fullRandom,846,3933,DP,7.3365
fullRandom,3353,2411,DP,15.4824
fullRandom,1302,3795,DP,8.393
fullRandom,1354,3003,DP,6.8375
fullRandom,39,3938,DP,0.2458
fullRandom,4374,3650,DP,30.6789
fullRandom,4884,648,DP,5.6174
fullRandom,4348,1373,DP,9.8004
fullRandom,399,4290,DP,3.3168
fullRandom,3420,477,DP,2.9645
fullRandom,660,89,DP,0.1723
fullRandom,1401,222,DP,0.7703
fullRandom,1670,57,DP,0.3369
fullRandom,1610,1640,DP,4.6553
fullRandom,3395,1715,DP,9.5734
fullRandom,4447,2018,DP,16.6034
fullRandom,1639,3293,DP,9.7744
fullRandom,2933,2779,DP,15.756
fullRandom,2947,4540,DP,22.497
fullRandom,3603,4366,DP,34.123
fullRandom,4070,540,DP,5.5655
fullRandom,2455,359,DP,1.6895
fullRandom,953,631,DP,1.1447
fullRandom,907,4291,DP,7.2576
fullRandom,3240,761,DP,4.4906
fullRandom,4034,1209,DP,9.0029
fullRandom,1419,82,DP,0.3154
fullRandom,529,3995,DP,7.2593
fullRandom,4755,1165,DP,16.1083
fullRandom,133,580,DP,0.1256
fullRandom,4593,792,DP,22.302
fullRandom,905,110,DP,0.2248
fullRandom,2393,4649,DP,19.1157
fullRandom,979,3591,DP,6.8911
fullRandom,3110,2831,DP,16.9816
fullRandom,2596,1825,DP,7.8868
fullRandom,657,381,DP,0.383
fullRandom,1790,1530,DP,4.6841
fullRandom,2059,4398,DP,19.1732
fullRandom,294,2532,DP,1.1866
fullRandom,1308,1372,DP,3.6484
fullRandom,4834,4081,DP,37.1444
fullRandom,581,2707,DP,2.6254
fullRandom,4630,1723,DP,14.08
fullRandom,1317,328,DP,0.7834
fullRandom,3431,2160,DP,12.8966
fullRandom,4656,343,DP,2.681
fullRandom,2303,4916,DP,19.0895
fullRandom,2658,88,DP,0.5921
fullRandom,1941,553,DP,1.8534
fullRandom,1097,1878,DP,4.396
fullRandom,3269,2496,DP,17.3238
fullRandom,620,3014,DP,3.1258
fullRandom,3026,2064,DP,11.6725
fullRandom,115,1538,DP,0.3214
fullRandom,4300,4500,DP,37.1142
fullRandom,2344,1516,DP,5.8288
fullRandom,993,939,DP,1.5244
fullRandom,2899,2878,DP,17.7689
fullRandom,3861,4923,DP,40.6862
fullRandom,477,1167,DP,1.0171
fullRandom,4889,2436,DP,26.4357
fullRandom,2299,2686,DP,11.3495
fullRandom,4215,2025,DP,14.3533
fullRandom,3128,3090,DP,20.8112
fullRandom,420,3402,DP,2.6827
fullRandom,3250,3106,DP,21.3506
fullRandom,33,695,DP,0.0408
fullRandom,3853,2849,DP,20.3022
fullRandom,3332,791,DP,4.3955
fullRandom,2354,401,DP,1.8304
fullRandom,1950,4661,DP,19.1506
fullRandom,3472,67,DP,0.7231
fullRandom,926,4364,DP,7.9596
fullRandom,3538,538,DP,3.6493
fullRandom,3200,3469,DP,19.8327
fullRandom,3099,4966,DP,31.535
fullRandom,2644,2970,DP,15.8633
fullRandom,4688,4765,DP,42.4699
fullRandom,3252,2113,DP,12.0741
fullRandom,2810,2739,DP,14.9341
fullRandom,2460,2994,DP,13.1436
fullRandom,3343,1297,DP,8.8892
fullRandom,4014,4428,DP,33.7443
fullRandom,3068,3587,DP,21.5032
fullRandom,2544,1450,DP,7.1359
fullRandom,1267,3532,DP,7.5747
fullRandom,2908,648,DP,3.1298
fullRandom,1352,1698,DP,4.1435
fullRandom,1752,695,DP,2.2497
fullRandom,2829,1073,DP,5.3524
fullRandom,1938,3147,DP,13.6281
fullRandom,4137,435,DP,3.4192
fullRandom,812,1106,DP,1.6862
fullRandom,3830,1156,DP,8.0539
fullRandom,162,3589,DP,1.0759
fullRandom,3727,3219,DP,37.9563
fullRandom,2233,2302,DP,12.1389
fullRandom,4238,4713,DP,37.5179
fullRandom,783,348,DP,0.4197
fullRandom,3031,1666,DP,8.4758
fullRandom,3297,3178,DP,23.6896
fullRandom,2216,3786,DP,19.0359
fullRandom,3663,3897,DP,29.3404
fullRandom,785,3279,DP,5.1571
fullRandom,798,4897,DP,8.0036
fullRandom,405,2647,DP,2.4468
fullRandom,3897,4261,DP,33.7991
fullRandom,2999,4467,DP,27.0577
fullRandom,1228,207,DP,0.7187
fullRandom,1325,4691,DP,12.9851
fullRandom,2401,3274,DP,17.5645
fullRandom,1330,624,DP,1.5368
fullRandom,4950,3340,DP,31.8343
fullRandom,4178,218,DP,1.9201
fullRandom,2682,4176,DP,20.2385
fullRandom,436,1840,DP,1.3273
fullRandom,957,3309,DP,7.0231
fullRandom,3054,2163,DP,12.7668
fullRandom,849,2263,DP,3.9009
fullRandom,2859,3113,DP,16.8609
fullRandom,1318,1825,DP,3.9548
fullRandom,2244,2393,DP,11.1597
fullRandom,3375,3440,DP,22.7211
fullRandom,1213,3315,DP,8.1934
fullRandom,4146,123,DP,4.654
fullRandom,4557,409,DP,7.082
fullRandom,2429,1543,DP,7.8631
fullRandom,90,3356,DP,0.6191
fullRandom,4125,537,DP,5.329
fullRandom,311,1391,DP,1.1271
fullRandom,899,811,DP,1.2146
fullRandom,355,3245,DP,1.9107
fullRandom,4697,3303,DP,29.9185
fullRandom,2325,532,DP,2.7828
fullRandom,3582,4234,DP,30.1982
fullRandom,4734,659,DP,6.1522
fullRandom,2128,2539,DP,10.164
fullRandom,3190,1202,DP,6.4054
fullRandom,1977,3364,DP,13.5792
fullRandom,55,4402,DP,0.4364
fullRandom,864,3201,DP,5.1482
fullRandom,783,291,DP,0.4758
fullRandom,2551,1353,DP,6.3194
fullRandom,470,2419,DP,2.2694
fullRandom,594,433,DP,0.4874
fullRandom,4987,616,DP,5.5935
fullRandom,1684,632,DP,1.866
fullRandom,3404,3062,DP,19.9302
fullRandom,4635,312,DP,2.5639
fullRandom,220,2499,DP,1.0596
fullRandom,1999,4835,DP,16.4846
fullRandom,4676,115,DP,1.5926
fullRandom,2914,921,DP,4.2399
fullRandom,1733,2459,DP,7.0145
fullRandom,4667,2748,DP,24.8912
fullRandom,4689,2708,DP,25.6911
fullRandom,816,4702,DP,7.1014
fullRandom,927,1132,DP,1.8419
fullRandom,4667,2871,DP,27.0585
fullRandom,104,3666,DP,0.691
fullRandom,892,3785,DP,6.1222
fullRandom,184,2039,DP,0.6767
fullRandom,2533,4980,DP,22.5123
fullRandom,629,2297,DP,2.6244
fullRandom,396,862,DP,0.5755
fullRandom,1348,972,DP,2.2378
fullRandom,3150,3793,DP,21.316
fullRandom,166,3800,DP,1.0754
fullRandom,2700,3833,DP,22.1366
fullRandom,609,897,DP,0.8684
fullRandom,1985,2669,DP,11.232
fullRandom,3849,3138,DP,23.9559
fullRandom,1658,799,DP,2.3367
fullRandom,2940,524,DP,3.2088
fullRandom,178,2338,DP,0.7118
fullRandom,3600,2517,DP,17.3051
fullRandom,3118,3139,DP,16.748
fullRandom,4113,1075,DP,7.439
fullRandom,1169,881,DP,1.879
fullRandom,2094,176,DP,0.9227
fullRandom,3515,1056,DP,7.0639
fullRandom,1150,1374,DP,2.694
fullRandom,934,1236,DP,2.2224
fullRandom,1891,543,DP,2.3688
fullRandom,4510,4039,DP,35.881
fullRandom,1728,2058,DP,6.0786
fullRandom,2505,2280,DP,11.5607
fullRandom,2764,2248,DP,14.228
fullRandom,2823,2497,DP,12.9088
fullRandom,4085,437,DP,3.3123
fullRandom,852,1046,DP,1.4571
fullRandom,615,3757,DP,4.2442
fullRandom,1807,4446,DP,17.1826
fullRandom,4782,1736,DP,16.2515
fullRandom,1564,806,DP,2.1869
fullRandom,2692,868,DP,3.977
fullRandom,1764,2789,DP,9.1801
fullRandom,2749,4674,DP,23.1566
fullRandom,2953,3202,DP,19.5677
fullRandom,3553,10,DP,0.5149
fullRandom,2867,3534,DP,18.5708
fullRandom,1643,183,DP,0.676
fullRandom,1352,3356,DP,7.9104
fullRandom,3140,4130,DP,24.3784
fullRandom,99,2708,DP,0.4359
fullRandom,4888,740,DP,6.1221
fullRandom,1099,2350,DP,4.7026
fullRandom,1099,1632,DP,3.1934
fullRandom,3868,781,DP,5.3649
fullRandom,4286,91,DP,0.9334
fullRandom,4687,75,DP,0.9428
fullRandom,741,922,DP,1.2286
fullRandom,909,569,DP,0.9676
fullRandom,4463,1701,DP,14.212
fullRandom,1412,1349,DP,3.2038
fullRandom,2341,213,DP,0.9072
fullRandom,4582,312,DP,2.6945
fullRandom,4106,2496,DP,17.4055
fullRandom,3249,3590,DP,23.8501
fullRandom,4473,2237,DP,16.7564
fullRandom,4687,4946,DP,44.7558
fullRandom,4137,1556,DP,13.5482
fullRandom,3388,2467,DP,14.2178
fullRandom,3091,1633,DP,8.1113
fullRandom,3974,2266,DP,16.9423
fullRandom,61,4930,DP,0.7037
fullRandom,13,4254,DP,0.1003
fullRandom,818,4080,DP,5.9685
fullRandom,3754,2410,DP,16.3835
fullRandom,1443,524,DP,1.3008
fullRandom,2738,1101,DP,4.9806
fullRandom,2754,4201,DP,20.3832
fullRandom,3930,1266,DP,8.6068
fullRandom,2186,1609,DP,5.9599
fullRandom,2467,2765,DP,11.9873
fullRandom,1062,2086,DP,3.5682
fullRandom,2902,1278,DP,6.3726
fullRandom,4633,1533,DP,13.4954
fullRandom,3963,2262,DP,21.2874
fullRandom,2578,718,DP,3.9573
fullRandom,191,625,DP,0.249
fullRandom,882,1133,DP,1.5838
fullRandom,4510,919,DP,7.3954
fullRandom,4050,3235,DP,25.5702
fullRandom,4898,1408,DP,12.2838
fullRandom,2702,1117,DP,4.9648
fullRandom,2799,4338,DP,22.0094
fullRandom,21,4253,DP,0.1911
fullRandom,2715,2251,DP,11.8438
fullRandom,4266,3054,DP,25.3928
fullRandom,4868,1460,DP,13.2647
fullRandom,856,4039,DP,6.3517
